epoch,acc_test,acc_train
1,0.1136,0.14
2,0.101,0.13
3,0.0974,0.16
4,0.098,0.14
5,0.1154,0.15
6,0.0974,0.14
7,0.098,0.17
8,0.1028,0.13
9,0.1028,0.13
10,0.1028,0.14
11,0.1032,0.14
12,0.1032,0.12
13,0.1922,0.22
14,0.1922,0.18
15,0.1922,0.21
16,0.1922,0.22
17,0.1922,0.24
18,0.1922,0.14
19,0.1922,0.21
20,0.1031,0.14
21,0.0892,0.14
22,0.1009,0.15
23,0.1028,0.13
24,0.1028,0.12
25,0.1028,0.12
26,0.1028,0.1
27,0.1028,0.11
28,0.1028,0.13
29,0.1028,0.08
30,0.1028,0.09
31,0.1032,0.16
32,0.1223,0.17
33,0.0982,0.16
34,0.1135,0.16
35,0.1524,0.2
36,0.1905,0.23
37,0.2478,0.31
38,0.1032,0.15
39,0.1592,0.16
40,0.2717,0.31
41,0.2717,0.36
42,0.3101,0.37
43,0.3101,0.24
44,0.3101,0.3
45,0.3101,0.41
46,0.3101,0.35
47,0.3101,0.26
48,0.2209,0.28
49,0.2502,0.39
50,0.1032,0.18
51,0.1032,0.1
52,0.3099,0.31
53,0.1907,0.21
54,0.3352,0.36
55,0.355,0.47
56,0.5445,0.51
57,0.4452,0.51
58,0.4376,0.52
59,0.3837,0.5
60,0.4786,0.5
61,0.4463,0.59
62,0.4693,0.51
63,0.4802,0.46
64,0.6416,0.59
65,0.4975,0.54
66,0.4975,0.52
67,0.666,0.64
68,0.6228,0.7
69,0.6228,0.61
70,0.6302,0.71
71,0.5979,0.7
72,0.6554,0.66
73,0.6258,0.57
74,0.6246,0.68
75,0.7642,0.79
76,0.6093,0.66
77,0.7493,0.79
78,0.7493,0.63
79,0.6526,0.71
80,0.7465,0.7
81,0.7465,0.76
82,0.635,0.74
83,0.7696,0.81
84,0.7255,0.8
85,0.7951,0.77
86,0.7951,0.81
87,0.7536,0.81
88,0.7762,0.78
89,0.7762,0.75
90,0.7357,0.82
91,0.7357,0.82
92,0.7174,0.78
93,0.7393,0.76
94,0.7438,0.82
95,0.8338,0.84
96,0.8338,0.79
97,0.8338,0.85
98,0.8338,0.79
99,0.8338,0.84
100,0.8338,0.85
101,0.8338,0.81
102,0.8338,0.82
103,0.8338,0.82
104,0.8338,0.78
105,0.8243,0.87
106,0.7339,0.84
107,0.6671,0.71
108,0.7355,0.76
109,0.753,0.82
110,0.7664,0.83
111,0.8381,0.83
112,0.8381,0.81
113,0.8381,0.83
114,0.8381,0.78
115,0.8381,0.9
116,0.8381,0.79
117,0.8242,0.87
118,0.8017,0.75
119,0.7764,0.89
120,0.8422,0.87
121,0.8422,0.81
122,0.8422,0.83
123,0.8422,0.81
124,0.8422,0.87
125,0.8422,0.87
126,0.841,0.91
127,0.773,0.87
128,0.8285,0.9
